order_id,product_id,product_description,product_price,product_vat_rate,discount_rate,quantity,full_price_amount,discounted_amount,vat_amount,total_amount,id
2,794,IBM 032,21873,0.11,0,49,1071777,1071777,117895.47,1189672.47,1
2,780,IBM 003,94046,0.2,0.761293446,29,2727334,651032.5004,130206.5001,781239.0005,2
2,521,Deskjet 995c / 995ck,47082,0.11,0,20,941640,941640,103580.4,1045220.4,3
2,835,A388C (Accompli 388),55162,0,0,50,2758100,2758100,0,2758100,4
2,580,Officejet 330,15927,0.11,0,46,732642,732642,80590.62,813232.62,5
2,365,QM3,33152,0.2,0,11,364672,364672,72934.4,437606.4,6
2,417,GS8,96066,0.11,0,22,2113452,2113452,232479.72,2345931.72,7
2,462,Deskjet 610c / 610cl,1037,0.2,0.522203088,33,34221,16350.68813,3270.137627,19620.82576,8
2,589,Officejet 720,98827,0,0.042481094,30,2964810,2838861.628,0,2838861.628,9
2,428,XC60,76782,0,0,30,2303460,2303460,0,2303460,10
2,480,Deskjet 697c,62009,0,0,27,1674243,1674243,0,1674243,11
2,477,Deskjet 693c,38209,0,0.674717399,28,1069852,348004.2418,0,348004.2418,12
2,549,Deskjet 6620,13463,0,0,26,350038,350038,0,350038,13
2,590,Officejet 725,30347,0,0.485438772,29,880063,452846.2984,0,452846.2984,14
2,792,IBM 029,47535,0.11,0,8,380280,380280,41830.8,422110.8,15
2,822,MicroTAC Alpha,65335,0,0,12,784020,784020,0,784020,16
2,517,Deskjet 960c / 960cse / 960cxi,77184,0,0,3,231552,231552,0,231552,17
2,640,Officejet Pro 1170c / 1170cse / 1170cxi,61714,0,0,35,2159990,2159990,0,2159990,18
2,830,MicroTAC DPC Series,28791,0,0.786399953,15,431865,92246.38417,0,92246.38417,19
3,372,Kodiaq,19169,0.11,0,17,325873,325873,35846.03,361719.03,20
3,316,GLA-Class,12730,0.11,0,33,420090,420090,46209.9,466299.9,21
3,843,A910/A910i,4415,0.11,0,4,17660,17660,1942.6,19602.6,22
3,266,Wrangler Unlimited/Wrangler 4 door,31715,0,0,10,317150,317150,0,317150,23
3,254,ESQ,45130,0,0.874577348,8,361040,45282.59432,0,45282.59432,24
3,573,Deskjet All-in-one F4185,40081,0,0,14,561134,561134,0,561134,25
3,164,Trax,54644,0.2,0.644854111,28,1530032,543384.5747,108676.9149,652061.4897,26
3,835,A388C (Accompli 388),97409,0.2,0,50,4870450,4870450,974090,5844540,27
3,510,Deskjet 940c / 940cvr / 940cw / 940cxi,74671,0,0,10,746710,746710,0,746710,28
